head_n,glyph,espanol,zan_k,zan_name,zanci,ceci,fuente,espanol_apreciacion,espanol_comentario
3,礥,Atascado,1,初一,黃純于潛不見其畛藏鬱於泉,黃純于潛化在嘖也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Amarillo puro en lo hundido; no se ven sus lindes; atesora, denso, en el hondón.",Amarillo puro en lo hundido: la transformación obra en lo profundo.
3,礥,Atascado,2,次二,黃不純屈于根,黃不純失中適也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Amarillo no puro: se dobla en la raíz.,Amarillo no puro: pierde el justo temple del centro.
3,礥,Atascado,3,次三,赤子扶扶元貞有終,赤子扶扶父母瞻也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El niño de pecho gatea y gatea; la rectitud primordial tiene su cumplimiento.,El niño que gatea: padre y madre lo velan.
3,礥,Atascado,4,次四,拔我不德以力不克,拔我不德力不堪也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Sacarme sin virtud, sólo a la fuerza, no lo logra.",Sacarme sin virtud: la fuerza no basta.
3,礥,Atascado,5,次五,拔車山淵宜於大人,拔車山淵大位力也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Sacar el carro del barranco conviene al gran hombre.,Sacar el carro del barranco: es la fuerza de la alta posición.
3,礥,Atascado,6,次六,將其車入于丘虛,將車入虛道不得也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Lleva su carro adentro del túmulo hueco.,Meter el carro en lo hueco: no se alcanza el camino.
3,礥,Atascado,7,次七,出險登丘或牽之牛,出險登丘莫之代也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Sale del peligro, sube al cerro; alguien le arrea un buey.",Salir del peligro y subir al cerro: nadie puede reemplazarlo.
3,礥,Atascado,8,次八,車不拔髀軸折,車不拔躬自賊也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El carro no se deja sacar; el eje y el cubo se quiebran.,El carro que no se saca: él mismo se hace el daño.
3,礥,Atascado,9,上九,崇崇高山下有川波其人有輯航可與過其,高山大川不輯航不克也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Alta, alta la montaña; abajo, las olas del río; ese hombre tiene remos y barca: con él se puede cruzar.","Alta montaña y gran río: sin remos ni barca, no se puede."
4,閑,Barrera,0,首辭,陽氣閑於陰礥然物咸見閑,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang queda atrancado por el yin; con esfuerzo, todos los seres se ven barrados.",
4,閑,Barrera,1,初一,蛇伏於泥無雄有雌終莫受施,蛇伏于泥君不君也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"La serpiente yace en el fango; sin macho, sólo hembra; al final nada recibe.",La serpiente en el fango: el señor no ejerce de señor.
4,閑,Barrera,2,次二,閑其藏固珍寶,閑其藏中心淵也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Atranca su depósito; asegura el tesoro precioso.,Atrancar el depósito: el corazón íntimo es profundo.
4,閑,Barrera,3,次三,關無鍵舍金管,關無鍵盜入門也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El portón sin cerrojo; se abandona la llave de metal.,El portón sin cerrojo: el ladrón entra por la puerta.
4,閑,Barrera,4,次四,拔我輗軏小得利小征,拔我輗軏貴以信也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Me arrancan la clavija del yugo; pequeña ganancia, pequeña campaña.",Arrancar la clavija del yugo: lo que se estima es la confianza.
4,閑,Barrera,5,次五,礥而閑而拔我姦而非石如石厲,礥閑如石其敵堅也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Duro y atrancado; me arrancan; pérfido, no es piedra y como piedra: severo. [verso oscuro]",Atrancado como piedra: su adversario es firme.
4,閑,Barrera,6,次六,閑黃垁席金笫,閑黃垁以德固也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Atranca el muro amarillo; estera sobre tablillas de metal. [verso oscuro],Atrancar el muro amarillo: por la virtud queda firme.
4,閑,Barrera,7,次七,跙跙閑于蘧除或寢之廬,跙跙之閑惡在舍也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Tropezando y tropezando, atrancado en el umbral de juncos; alguno duerme en la choza.",Ese tropiezo atrancado: el mal está en el hospedaje.
4,閑,Barrera,8,次八,赤臭播關大君不閑克國乘家,赤臭播關恐入室也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Hedor rojo se esparce por el portón; el gran señor, sin barrera, somete el reino y monta la casa. [verso oscuro]",Hedor rojo por el portón: se teme que entre en la alcoba.
4,閑,Barrera,9,上九,閑門以終虛,閑門以虛終不可實也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Atranca la puerta hasta el fin: vacío.,Atrancar la puerta con vacío: hasta el fin no podrá llenarse.
5,少,Guardar lo Pequeño,0,首辭,陽氣澹然施於淵物謙然能自韱,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang, sereno, se derrama en el hondón; los seres, humildes, saben adelgazarse a sí mismos.",
5,少,Guardar lo Pequeño,1,初一,冥自少眇于謙,冥自少不見謙也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"En lo oscuro, uno se hace pequeño de suyo; diminuto en la humildad.",En lo oscuro hacerse pequeño: la humildad no se ve.
5,少,Guardar lo Pequeño,2,次二,自少不至懷其卹,自少不至謙不成也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Hacerse pequeño, mas sin lograrlo; guarda en el pecho su desvelo.",Hacerse pequeño sin lograrlo: la humildad no se cumple.
5,少,Guardar lo Pequeño,3,次三,動韱其得人主之式,韱其得人謙貞也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Mueve lo tenue y sutil, y lo gana: es el modelo de un soberano.",Lo sutil que gana a los hombres: humildad y rectitud.
5,少,Guardar lo Pequeño,4,次四,貧貧或妄之振,貧貧妄振不能守正也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Pobre, pobre; alguno lo agita sin tino.",Pobre y agitado sin tino: no sabe guardar lo recto.
5,少,Guardar lo Pequeño,5,次五,地自沖下于川,地自沖人之所聖也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"La tierra, de suyo, se vacía y baja hacia el río.",La tierra que se vacía: es lo que hace sabio al hombre.
5,少,Guardar lo Pequeño,6,次六,少持滿今盛後傾,少持滿何足盛也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Lo pequeño sostiene lo lleno: ahora floreciente, luego volcado.",Lo pequeño que sostiene lo lleno: ¿cómo va a durar en flor?
5,少,Guardar lo Pequeño,7,次七,貧自究利用見富,貧自究富之聘也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),La pobreza que se agota a sí misma: propicio mostrar la riqueza.,La pobreza que se agota: es el reclamo de la riqueza.
5,少,Guardar lo Pequeño,8,次八,貧不貧人莫之振,貧不貧何足敬也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Pobre y no pobre: nadie necesita socorrerlo.,Pobre y no pobre: ¿qué mérito hay que respetar en ello?
5,少,Guardar lo Pequeño,9,上九,密雨溟沐潤于枯瀆三日射谷,密雨射谷謙之靜也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Lluvia menuda, brumosa, bañando; humedece la acequia seca; tres días penetra el valle.",Lluvia menuda que penetra el valle: la quietud de la humildad.
6,戾,Contrariedad,0,首辭,陽氣孚微物各乖離而觸其類,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El aliento yang confía en lo tenue; cada ser se aparta y choca con los de su especie.,
6,戾,Contrariedad,1,初一,虛既邪心有傾,虛邪心傾懷不正也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El vacío ya torcido; el corazón se inclina.,"Vacío torcido, corazón inclinado: el pecho no es recto."
6,戾,Contrariedad,2,次二,正其腹引其背酋貞,正其腹中心定也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Endereza el vientre, recoge la espalda: rectitud madura.",Enderezar el vientre: el corazón íntimo se asienta.
6,戾,Contrariedad,3,次三,戾其腹正其背,戾腹正背中外爭也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Contrario en el vientre, recto en la espalda.","Vientre contrario, espalda recta: dentro y fuera en pugna."
6,戾,Contrariedad,4,次四,夫妻反道維家之保,夫妻反道各有守也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Marido y mujer opuestos en la Vía: y con todo, el resguardo de la casa.",Marido y mujer opuestos: cada cual tiene su guarda.
6,戾,Contrariedad,5,次五,東南射兕西北其矢,東南射兕不得其首也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Al sudeste dispara al rinoceronte; al noroeste va su flecha.,Disparar al sudeste: no le acierta en la cabeza.
6,戾,Contrariedad,6,次六,準繩規矩不同其施,準繩規矩乖其道也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Nivel y cuerda, compás y escuadra: distintos en su empleo.","Nivel y cuerda, compás y escuadra: contrarios en su camino."
6,戾,Contrariedad,7,次七,女不女其心予覆夫諿,女不女大可醜也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),La mujer que no es mujer; su corazón da y trastorna; el marido asiente. [verso oscuro],La mujer que no es mujer: gran vergüenza.
6,戾,Contrariedad,8,次八,殺生相午中和其道,殺生相午中為界也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Matar y dar vida se cruzan; el centro armoniza su camino.,Matar y dar vida se cruzan: el centro es la linde.
6,戾,Contrariedad,9,上九,倉靈之雌不同宿而離失則歲之功乖,倉靈之雌失作敗也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"La hembra del numen glauco no anida junto al suyo, sino que se aparta; si se pierde, la obra del año se malogra.","La hembra del numen glauco: al perderse, todo se arruina."
7,上,Ascenso,0,首辭,陽氣育物于下咸射地而登乎上,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El aliento yang nutre a los seres abajo; todos brotan de la tierra y ascienden a lo alto.,
7,上,Ascenso,1,初一,上其純心挫厥鏩鏩,上其純心和以悅也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Asciende con corazón puro; embota su ímpetu punzante.,Ascender con corazón puro: en armonía y con gozo.
7,上,Ascenso,2,次二,上無根思登于天谷在于淵,上無根不能自活也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Asciende sin raíz, sueña con subir al Cielo, aunque el valle esté en el abismo.",Ascender sin raíz: no puede mantenerse vivo.
7,上,Ascenso,3,次三,出于幽谷登于茂木思其珍穀,出谷登木知向方也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Sale del valle sombrío, sube al árbol frondoso; anhela su grano precioso.",Salir del valle y subir al árbol: sabe hacia dónde ir.
7,上,Ascenso,4,次四,即上不貞無根繁榮孚虛名,即上不貞妄升也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Sube sin rectitud; sin raíz florece exuberante, fiando en un nombre vacío.",Subir sin rectitud: es un ascenso temerario.
7,上,Ascenso,5,次五,鳴鶴升自深澤階天不怍,鳴鶴不怍有諸中也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"La grulla que canta se alza del hondo pantano, escala el cielo sin sonrojo.",La grulla que canta sin sonrojo: lo lleva dentro.
7,上,Ascenso,6,次六,升于堂顛衣到裳廷人不慶,升堂顛到失大眾也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Sube al salón, la túnica vuelta, la falda del revés; los cortesanos no lo celebran. [verso oscuro]",Subir al salón del revés: pierde a la multitud.
7,上,Ascenso,7,次七,升于顛臺或柱之材,升臺得柱輔弗堅也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Sube a la terraza que se desploma; alguno la apuntala con madera.,Terraza apuntalada: el sostén no es firme.
7,上,Ascenso,8,次八,升于高危或斧之梯,升危斧梯失士民也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Sube a la altura peligrosa; alguno le corta a hachazos la escalera.,Subir al peligro con la escalera cortada: pierde a nobles y pueblo.
7,上,Ascenso,9,上九,棲于菑初亡後得基,棲菑得基後得人也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Se posa en el árbol muerto; primero pierde, luego gana cimiento.",Posarse en lo muerto y ganar cimiento: luego gana a los hombres.
8,干,Oposición,0,首辭,陽氣扶物而鑽乎堅鉿然有穿,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang apuntala a los seres y horada lo duro; con tesón, algo perfora.",
8,干,Oposición,1,初一,丸鑽鑽于內隙厲,丸鑽于內轉丸非也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Una bolita horada y horada la grieta interior: peligro.,Horadar por dentro: hacer rodar la bolita es un error.
8,干,Oposición,2,次二,以微干正維用軌命,以微干正大諫微也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Con lo sutil busca lo recto; sólo así sigue la senda ordenada.,Con lo sutil buscar lo recto: gran amonestación en lo pequeño.
8,干,Oposición,3,次三,𦴑鍵挈挈匪貞,𦴑鍵挈挈干祿回也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Cerrojo y traba, aferrando, aferrando: no es recto. [verso oscuro]",Aferrar cerrojo y traba: buscar la paga por vías torcidas.
8,干,Oposición,4,次四,干言入骨時貞,干骨之時直其道也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"La palabra que amonesta entra hasta el hueso; oportuna, recta.",Al hueso a tiempo: endereza su camino.
8,干,Oposición,5,次五,蚩蚩干于丘飴或錫之坏,蚩蚩之干錫不好也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Necio, necio, buscando en el cerro de dulces; alguno le regala un tiesto sin cocer. [verso oscuro]",Ese buscar necio: el regalo no vale.
8,干,Oposición,6,次六,幹干於天貞馴,幹干之貞順可保也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El tronco busca hasta el Cielo; recto, dócil.","Ese buscar recto: obediente, se conserva."
8,干,Oposición,7,次七,何戟解解遘,何戟解解不容道也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Cargando la alabarda, flojo, flojo, tropieza con la reyerta. [verso oscuro]",Cargar flojo la alabarda: no deja sitio a la Vía.
8,干,Oposición,8,次八,赤舌燒城吐水于缾,赤舌吐水君子以解祟也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Una lengua roja incendia la ciudad; vierte agua desde el jarro.,Lengua roja que vierte agua: así el noble conjura el maleficio.
8,干,Oposición,9,上九,干于浮雲從墜于天,干于浮雲乃從天墜也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Busca entre las nubes flotantes; y por eso cae desde el Cielo.,Buscar entre las nubes: entonces cae desde el Cielo.
9,羨,Ramificación,0,首辭,陽氣彊內而弱外物咸扶𤕠而進乎大,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang, fuerte por dentro y débil por fuera; los seres se apoyan en el desborde y avanzan hacia lo grande.",
9,羨,Ramificación,1,初一,自我匍匐好是冥德,匍匐冥德若無行也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),De mí mismo gateo; amo esta virtud oscura.,Gatear con virtud oscura: como si obrara sin obrar.
9,羨,Ramificación,2,次二,熒𤕠狧狧不利有攸往,熒𤕠狧狧多欲往也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Desbordamiento que reluce, lamiendo y lamiendo; no conviene tener adónde ir.",Desbordamiento que lame: demasiado deseo de ir.
9,羨,Ramificación,3,次三,卉炎于𤕠宜于丘陵,卉炎丘陵短臨長也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Las hierbas arden en el desborde; convienen a las colinas.,Hierbas que arden en la colina: lo corto se impone a lo largo.
9,羨,Ramificación,4,次四,𤕠于酒食肥無譽,𤕠于酒食仕無方也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Desborde en vino y comida; gordo, sin honra.",Desborde en vino y comida: servir el cargo sin método.
9,羨,Ramificación,5,次五,𤕠有足託堅穀,𤕠有足位正當也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El desborde tiene pies; confíalo al grano firme.,El desborde con pies: la posición es la justa.
9,羨,Ramificación,6,次六,獨𤕠逝逝利小不利大,獨𤕠逝逝不可大也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Desbordando a solas, fluyendo y fluyendo; propicio para lo pequeño, no para lo grande.",Desbordar a solas: no puede ser grande.
9,羨,Ramificación,7,次七,白日臨辰可以卒其所聞,白日臨辰老得勢也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El sol blanco domina la hora; se puede rematar lo que se ha aprendido.,El sol que domina la hora: lo viejo cobra su impulso.
9,羨,Ramificación,8,次八,蚤虱之𤕠厲,蚤虱之𤕠不足賴也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El desborde de pulgas y piojos: peligro.,Desborde de pulgas y piojos: no hay en qué fiarse.
9,羨,Ramificación,9,上九,全𤕠絭其首尾臨于淵,全𤕠之絭恐遇困也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Todo el desborde atado; cabeza y cola asoman al abismo.,Todo el desborde atado: teme toparse con el apuro.
10,羡,Defecto / Distorsión,0,首辭,陽氣贊幽推包羡爽未得正行,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang asiste lo oculto, empuja y abarca en desvío incierto; aún no logra el andar recto.",
10,羡,Defecto / Distorsión,1,初一,羡於初其次迂塗,羡于初後難正也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Desvío en el arranque; luego, camino sinuoso.","Desvío en el arranque: después, difícil de enderezar."
10,羡,Defecto / Distorsión,2,次二,羡于微克復可以為儀,羡微克復不遠定也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Desvío en lo pequeño; capaz de volver: puede servir de norma.,Desvío pequeño con retorno: se corrige antes de ir lejos.
10,羡,Defecto / Distorsión,3,次三,羡迂塗不能直如,羡迂塗不能直行也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Desvío en el camino torcido; incapaz de ir derecho.,Desvío en lo torcido: no puede andar derecho.
10,羡,Defecto / Distorsión,4,次四,羡權正吉人不幸,羡權正善反常也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Desvía, sopesa, endereza: propicio; el hombre se libra del infortunio.",Sopesar y enderezar: lo bueno vuelve a la norma.
10,羡,Defecto / Distorsión,5,次五,孔道夷如蹊路微如大輿之憂,孔道之夷奚不遵也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"La gran vía es llana; el sendero, tenue; y aun así, la inquietud de un gran carruaje.",La llanura de la gran vía: ¿por qué no seguirla?
10,羡,Defecto / Distorsión,6,次六,大虛既邪或直之或翼之得矢夫,虛邪矢夫得賢臣也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El gran vacío ya torcido; unos lo enderezan, otros lo asisten: se obtiene al hombre de la flecha. [verso oscuro]",Del vacío torcido: se gana a un ministro digno.
10,羡,Defecto / Distorsión,7,次七,曲其故迂其塗厲之馴,曲其故為作意也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Tuerce su causa, enreda su camino; peligro, y luego doma.",Torcer la causa: es artificio deliberado.
10,羡,Defecto / Distorsión,8,次八,羡其足濟于溝瀆面貞,羡其足避凶事也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Desvía sus pies; cruza la acequia; encara la rectitud.,Desviar los pies: esquiva el suceso funesto.
10,羡,Defecto / Distorsión,9,上九,車軸折其衡抈四馬就括高人吐血,軸折吐血終不可悔也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Se quiebra el eje del carro, salta la barra del yugo; los cuatro caballos quedan trabados; el hombre encumbrado vomita sangre.","Eje roto y sangre vomitada: al final, ya no cabe lamentarlo."
11,差,Divergencia,0,首辭,陽氣蠢闢於東帝由群雍物差其容,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),El aliento yang se agita y abre por el este; el Soberano parte de la muchedumbre concorde; los seres divergen en su forma.,
11,差,Divergencia,1,初一,微失自攻端,微失自攻人未知也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Una falta mínima se ataca a sí misma en su germen.,Falta mínima que se ataca: la gente aún no lo sabe.
11,差,Divergencia,2,次二,𥧲其所好將以致其所惡,𥧲其所好漸以差也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Consiente lo que ama; con ello acarreará lo que aborrece.,Consentir lo que ama: poco a poco se desvía.
11,差,Divergencia,3,次三,其亡其亡將至于暉光,其亡其亡震自衛也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"«¡Perdido, perdido!»; y con todo alcanzará la luz resplandeciente.","«¡Perdido, perdido!»: sobresaltado, se guarda a sí mismo."
11,差,Divergencia,4,次四,過小善不克,過小善不能至大也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),Se excede en el bien pequeño: no prevalece.,Excederse en el bien pequeño: no llega a lo grande.
11,差,Divergencia,5,次五,過門折入得此中行,過門折入近復還也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Pasa la puerta, se vuelve y entra; alcanza este andar del medio.",Pasar y volver a entrar: cerca del retorno.
11,差,Divergencia,6,次六,大跌過其門不入其室,大跌不入誠可患也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Un gran traspié; pasa su puerta, no entra en su alcoba.",Gran traspié sin entrar: de veras es de temer.
11,差,Divergencia,7,次七,累卵業業懼貞安,累卵業業自危作安也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Huevos apilados, trémulo, trémulo; temeroso, recto, en paz.",Huevos apilados y trémulos: del peligro hace la paz.
11,差,Divergencia,8,次八,足纍纍其步蹉躟輔銘滅麋,足纍纍履禍不還也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Pies trabados, trabados; sus pasos tropiezan y se atropellan; grabado el aviso, borrado el ciervo. [verso oscuro]",Pies trabados: pisa la calamidad y no vuelve.
11,差,Divergencia,9,上九,過其枯城或蘖青青,過其枯城改過更生也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Pasando la muralla marchita, algunos brotes verdean, verdean.",Pasar la muralla marchita: enmienda la falta y renace.
12,童,Juventud,0,首辭,陽氣始窺物僮然咸未有知,,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"El aliento yang empieza a asomarse; los seres, pueriles, aún nada saben.",
12,童,Juventud,1,初一,顓童不寤會我蒙昏,童不寤恐終晦也,CHANT/TLS 四部叢刊 (Kanripo KR3g0001),"Niño obtuso, sin despertar; me encuentra en la penumbra confusa.",El niño que no despierta: teme acabar en tinieblas.
