cabeza,glifo,pinyin,espanol,fase_zh,fase_es,hex_kingwen,hex_glifo,hex_es,termino_solar_zh,termino_solar_es,grado_inicio,grado_fin,evento_solar,fecha_solar_nylan,tercio,familia_yinyang,fang,zhou,bu,jia
25,爭,Zhēng,Disputa,火,Fuego,6,訟,El Conflicto,清明,Claridad pura,108,112.5,,April 9 April 13 (a.m.),Cielo,yang,1,3,3,1
26,務,Wù,Empeño,木,Madera,18,蠱,El Trabajo en lo Echado a Perder,穀雨,Lluvia de granos,112.5,117,,April 13 (p.m.) April 17,Cielo,yin,1,3,3,2
27,事,Shì,Deberes,金,Metal,18,蠱,El Trabajo en lo Echado a Perder,穀雨,Lluvia de granos,117,121.5,,April 18 April 22 (a.m.),Cielo,yang,1,3,3,3
28,更,Gèng,Cambio,水,Agua,49,革,La Revolución,穀雨,Lluvia de granos,121.5,126,,April 22 (p.m.) April 26,Tierra,yin,2,1,1,1
29,斷,Duàn,Decisión,火,Fuego,43,夬,La Resolución,穀雨,Lluvia de granos,126,130.5,,April 27 May 1 (a.m.),Tierra,yang,2,1,1,2
30,毅,Yì,Resolución Audaz,木,Madera,43,夬,La Resolución,立夏,Inicio del verano,130.5,135,,May 1 (p.m.) May 5,Tierra,yin,2,1,1,3
31,裝,Zhuāng,Reunir,金,Metal,56,旅,El Andariego,立夏,Inicio del verano,135,139.5,,May 6 May 10 (a.m.),Tierra,yang,2,1,2,1
32,衆,Zhòng,Legión,土,Tierra,7,師,El Ejército,立夏,Inicio del verano,139.5,144,,May 10 (p.m.)—May 14,Tierra,yin,2,1,2,2
33,密,Mì,Cercanía,水,Agua,8,比,La Solidaridad,小滿,Llenado menor,144,148.5,,May 15—May 19 (a.m.),Tierra,yang,2,1,2,3
34,親,Qīn,Parentesco,火,Fuego,8,比,La Solidaridad,小滿,Llenado menor,148.5,153,,May 19 (p.m.)—May 23,Tierra,yin,2,1,3,1
35,斂,Liǎn,Congregación,木,Madera,9,小畜,La Fuerza Domesticadora de lo Pequeño,小滿,Llenado menor,153,157.5,,May 24—May 28 (a.m.),Tierra,yang,2,1,3,2
36,彊,Qiáng,Fuerza,金,Metal,1,乾,Lo Creativo,小滿,Llenado menor,157.5,162,,May 28 (p. m.) June 1,Tierra,yin,2,1,3,3
37,睟,Suì,Pureza,水,Agua,1,乾,Lo Creativo,芒種,Grano en espiga,162,166.5,,June 2 June 6 (a.m.),Tierra,yang,2,2,1,1
38,盛,Shèng,Plenitud,火,Fuego,14,大有,La Posesión de lo Grande,芒種,Grano en espiga,166.5,171,,June 6 (p.m.) June 10,Tierra,yin,2,2,1,2
39,居,Jū,Residencia,木,Madera,37,家人,El Clan (La Familia),芒種,Grano en espiga,171,175.5,,June 11 June 15 (a.m.),Tierra,yang,2,2,1,3
40,法,Fǎ,Ley / Modelo,金,Metal,48,井,El Pozo,夏至,Solsticio de verano,175.5,180,,June 15 (p.m.) June 19,Tierra,yin,2,2,2,1
41,應,Yìng,Respuesta,土,Tierra,30,離,Lo Adherente (El Fuego),夏至,Solsticio de verano,180,184.5,Solsticio de verano (en la apreciacion 5),June 20 June 24 (a.m.),Tierra,yang,2,2,2,2
42,迎,Yíng,Ir al Encuentro,水,Agua,31,咸,El Influjo,夏至,Solsticio de verano,184.5,189,,June 24 (p.m.) June 28,Tierra,yin,2,2,2,3
43,遇,Yù,Encuentros,火,Fuego,44,姤,El Ir al Encuentro,小暑,Calor menor,189,193.5,,June 29 July 3 (a.m.),Tierra,yang,2,2,3,1
44,竈,Zào,Fogón,木,Madera,50,鼎,El Caldero,小暑,Calor menor,193.5,198,,July 3 (p. m.) July 7,Tierra,yin,2,2,3,2
45,大,Dà,Grandeza,金,Metal,55,豐,La Abundancia,小暑,Calor menor,198,202.5,,July 8 July 12 (a.m.),Tierra,yang,2,2,3,3
46,廓,Kuò,Ampliación,水,Agua,55,豐,La Abundancia,小暑,Calor menor,202.5,207,,July 12 (p.m.) July 16,Tierra,yin,2,3,1,1
47,文,Wén,Patrón,火,Fuego,59,渙,La Dispersión,大暑,Calor mayor,207,211.5,,July 17 July 21 (a.m.),Tierra,yang,2,3,1,2
48,禮,Lǐ,Ritual,木,Madera,10,履,El Porte,大暑,Calor mayor,211.5,216,,July 21 (p.m.) July 25,Tierra,yin,2,3,1,3
49,逃,Táo,Vuelo,金,Metal,33,遯,La Retirada,大暑,Calor mayor,216,220.5,,July 26 July 30 (a.m.),Tierra,yang,2,3,2,1
50,唐,Táng,Vastedad / Desperdicio,土,Tierra,33,遯,La Retirada,立秋,Inicio del otoño,220.5,225,,July 30 (p.m.) August 3,Tierra,yin,2,3,2,2
51,常,Cháng,Constancia,水,Agua,32,恆,La Duración,立秋,Inicio del otoño,225,229.5,,August 4 August 8 (a.m.),Tierra,yang,2,3,2,3
52,度,Dù,Medida,火,Fuego,60,節,La Restricción,立秋,Inicio del otoño,229.5,234,,August 8 (p.m.) August 12,Tierra,yin,2,3,3,1
53,永,Yǒng,Eternidad,木,Madera,32,恆,La Duración,處暑,Fin del calor,234,238.5,,August 13 August 17 (a.m.),Tierra,yang,2,3,3,2
54,昆,Kūn,Unidad,金,Metal,13,同人,Comunidad con los Hombres,處暑,Fin del calor,238.5,243,,August 17 (p.m.) August 21,Tierra,yin,2,3,3,3
55,減,Jiǎn,Merma,水,Agua,41,損,La Merma,處暑,Fin del calor,243,247.5,,August 22 August 26 (a.m.),Hombre,yang,3,1,1,1
56,唫,Yín,Boca Cerrada,火,Fuego,12,否,El Estancamiento,處暑,Fin del calor,247.5,252,,August 26 (p.m.) August 30,Hombre,yin,3,1,1,2
57,守,Shǒu,Cautela,木,Madera,12,否,El Estancamiento,白露,Rocío blanco,252,256.5,,August 31 September 4 (a.m.),Hombre,yang,3,1,1,3
58,翕,Xì,Recogimiento,金,Metal,57,巽,Lo Suave (El Viento),白露,Rocío blanco,256.5,261,,September 4 (p.m.) September 8,Hombre,yin,3,1,2,1
59,聚,Jù,Amontonamiento,土,Tierra,45,萃,La Reunión,白露,Rocío blanco,261,265.5,,September 9 (p. m.) September 13,Hombre,yang,3,1,2,2
60,積,Jī,Acumulación,水,Agua,26,大畜,La Fuerza Domesticadora de lo Grande,秋分,Equinoccio de otoño,265.5,270,,September 13 (p.m.) September 17,Hombre,yin,3,1,2,3
61,餙,Shì,Ornamento,火,Fuego,22,賁,La Gracia,秋分,Equinoccio de otoño,270,274.5,Equinoccio de otono (zona),September 18 September 22 (a.m.),Hombre,yang,3,1,3,1
62,疑,Yí,Duda,木,Madera,22,賁,La Gracia,秋分,Equinoccio de otoño,274.5,279,,September 22 (p. m.) September 26,Hombre,yin,3,1,3,2
63,視,Shì,Vigilia,金,Metal,20,觀,La Contemplación,秋分,Equinoccio de otoño,279,283.5,,September 27 October 1 (a.m.),Hombre,yang,3,1,3,3
64,沈,Chén,Hundimiento,水,Agua,20,觀,La Contemplación,寒露,Rocío frío,283.5,288,,October 1 (p.m.) October 5,Hombre,yin,3,2,1,1
65,內,Nèi,Lo Interior,火,Fuego,54,歸妹,La Muchacha que se Casa,寒露,Rocío frío,288,292.5,,October 6 October 10 (a.m.),Hombre,yang,3,2,1,2
66,去,Qù,Partida,木,Madera,25,無妄,La Inocencia,寒露,Rocío frío,292.5,297,,October 10 (p. m.) October 14,Hombre,yin,3,2,1,3
67,晦,Huì,Oscurecimiento,金,Metal,36,明夷,El Oscurecimiento de la Luz,霜降,Caída de la escarcha,297,301.5,,October 15 October 19 (a.m.),Hombre,yang,3,2,2,1
68,瞢,Méng,Atenuación,土,Tierra,36,明夷,El Oscurecimiento de la Luz,霜降,Caída de la escarcha,301.5,306,,October 19 (p.m.) October 23,Hombre,yin,3,2,2,2
69,窮,Qióng,Agotamiento,水,Agua,47,困,La Desazón,霜降,Caída de la escarcha,306,310.5,,October 24 October 28 (a.m.),Hombre,yang,3,2,2,3
70,割,Gē,Ruptura,火,Fuego,23,剝,La Desintegración,立冬,Inicio del invierno,310.5,315,,October 28 (p. m.) November I,Hombre,yin,3,2,3,1
71,止,Zhǐ,Detención,木,Madera,52,艮,El Aquietamiento (La Montaña),立冬,Inicio del invierno,315,319.5,,November 2 November 6 (a.m.),Hombre,yang,3,2,3,2
72,堅,Jiān,Dureza,金,Metal,52,艮,El Aquietamiento (La Montaña),立冬,Inicio del invierno,319.5,324,,November 6 (p. m.) November 10,Hombre,yin,3,2,3,3
73,成,Chéng,Consumación,水,Agua,63,既濟,Después de la Consumación,立冬,Inicio del invierno,324,328.5,,November 11 November 15 (a.m.),Hombre,yang,3,3,1,1
74,䦯,Xián,Cierre,火,Fuego,21,噬嗑,La Mordedura Tajante,小雪,Nieve menor,328.5,333,,November 15 (p.m.) November 19,Hombre,yin,3,3,1,2
75,失,Shī,Fracaso,木,Madera,28,大過,La Preponderancia de lo Grande,小雪,Nieve menor,333,337.5,,November 20 November 24 (a.m.),Hombre,yang,3,3,1,3
76,劇,Jù,Agravamiento,金,Metal,28,大過,La Preponderancia de lo Grande,小雪,Nieve menor,337.5,342,,November 24 (p.m.) November 28,Hombre,yin,3,3,2,1
77,馴,Xún,Conformidad,土,Tierra,2,坤,Lo Receptivo,大雪,Nieve mayor,342,346.5,,November 29 December 3 (a.m.),Hombre,yang,3,3,2,2
78,將,Jiāng,Al Borde,水,Agua,64,未濟,Antes de la Consumación,大雪,Nieve mayor,346.5,351,,December 3 (p.m.) December 7,Hombre,yin,3,3,2,3
79,難,Nán,Dificultades,火,Fuego,39,蹇,El Impedimento,大雪,Nieve mayor,351,355.5,,December 8 December 12 (a.m. ),Hombre,yang,3,3,3,1
80,勤,Qín,Fatiga,木,Madera,39,蹇,El Impedimento,冬至,Solsticio de invierno,355.5,360,,December 12 (p. m.) December 16,Hombre,yin,3,3,3,2
81,養,Yǎng,Sustento / Crianza,金,Metal,27,頤,La Nutrición,冬至,Solsticio de invierno,360,364.5,,December 17 December 21 (a.m. ),Hombre,yang,3,3,3,3
